clip,call_type,selected_preset,candidate_score,has_safe_noise,has_context,reduction_pct,sparsity_pct,peak_freq_hz,peak_in_target_band,target_band_retention_pct,machine_band_suppression_pct,target_machine_ratio_gain_db,target_band_cosine_similarity,core_rumble_retention_pct,target_band_low_hz,target_band_high_hz,noise_reference_match_reduction_db,context_elephant_band_energy
call_123.wav,rumble,rumble_aggressive,66.39389445512073,1,1,35.90853194563773,97.83654257595208,30.403537866224436,1,47.320326989486695,99.9636276270824,31.142761018360844,0.8831132650375366,47.320326989486695,10.0,150.0,34.39228364839636,42993.609375
call_152.wav,rumble,rumble_aggressive,63.99949327067714,1,1,48.12553250872248,97.07317073170731,72.3548205224582,1,46.08159695846732,99.94876311339657,29.53944789077891,0.8800256848335266,46.08159695846732,10.0,150.0,32.90417267919841,70934.453125
call_70.wav,rumble,rumble_aggressive,63.55367963820305,1,1,36.24945132532699,98.86544258701015,25.0,1,43.567201003559674,99.95114410830442,29.502427151269092,0.8621837496757507,43.567201003559674,10.0,150.0,33.11083055759347,83028.140625
call_159.wav,rumble,rumble_aggressive,63.99238645795912,1,1,45.97914304742072,97.00233879051119,72.3698422985526,1,48.66874731843279,99.94245403027415,29.272352552103143,0.893602728843689,48.66874731843279,10.0,150.0,32.39985087098995,32239.9140625
call_211.wav,rumble,rumble_aggressive,57.264405911022415,1,1,63.20666975764926,97.27632711621233,34.457342915054355,1,24.692420300059005,99.9544744555943,27.34308512767158,0.7032674551010132,24.692420300059005,10.0,150.0,33.41744852100352,27604.755859375
call_153.wav,rumble,rumble_aggressive,60.42149416848169,1,1,41.38152107642821,95.6951219512195,28.189910979228486,1,59.613721620592386,99.84877064543984,25.957101366003187,0.8915348052978516,59.613721620592386,10.0,150.0,28.20363901386599,35262.140625
call_118.wav,rumble,rumble_aggressive,52.23496971926695,1,1,58.301520684696605,97.10687361419069,32.184562802620334,1,18.145279687344377,99.94955817438384,25.55972870303731,0.7550011277198792,18.145279687344377,10.0,150.0,32.972092035960785,13281.609375
call_130.wav,rumble,rumble_balanced,57.56442978491194,1,1,68.73176817735856,97.3541463414634,38.83495145631068,1,48.853494748598806,99.85216350044507,25.191139656899132,0.8029139637947083,48.853494748598806,10.0,150.0,28.302183291449587,5894.39990234375
call_160.wav,rumble,rumble_aggressive,58.76536256155317,1,1,42.07949324979571,95.77618364418939,28.195488721804512,1,57.84857060610796,99.81426774482836,24.934053003428364,0.8859612345695496,57.84857060610796,10.0,150.0,27.311126680066522,18644.78125
call_51.wav,rumble,rumble_aggressive,58.25173612456279,1,1,26.97941570660003,96.34044715447155,27.941176470588236,1,54.31942391066323,99.80782094459133,24.51249100924296,0.9397100806236267,54.31942391066323,10.0,150.0,27.162939455750237,97624.9765625
call_137.wav,rumble,rumble_aggressive,56.16899048228433,1,1,46.24801403353298,94.0667641325536,73.1948565776459,1,51.5122186269377,99.77560102177495,23.608893802298887,0.8729086518287659,51.5122186269377,10.0,150.0,26.48979124919559,65287.26953125
call_117.wav,rumble,rumble_aggressive,56.62281846753187,1,1,29.051423526932428,94.66962305986696,34.25309229305424,1,51.90642923508237,99.76906484628708,23.51731106078918,0.9408018589019775,51.90642923508237,10.0,150.0,26.365099523077355,58168.19921875
call_144.wav,rumble,rumble_aggressive,54.86413053054759,1,1,59.395405862922466,96.39783197831979,29.580650774317036,1,42.233467891712365,99.80520488458868,23.360786813349353,0.8689082264900208,42.233467891712365,10.0,150.0,27.104219374805073,1211911.125
call_101.wav,rumble,rumble_aggressive,58.84728917176339,1,1,10.116079032540458,96.44825313117997,27.332906256673073,1,84.67648308857834,99.53140652497723,22.569665750227863,0.9774495363235474,84.67648308857834,10.0,150.0,23.29203763074349,137475.734375
call_99.wav,rumble,rumble_aggressive,54.65194577107133,1,1,30.333031821222754,94.91382113821139,24.00835073068893,1,51.487914984800774,99.7109283461796,22.506997982035198,0.8770603537559509,51.487914984800774,10.0,150.0,25.389944928771563,72922.015625
call_27.wav,rumble,rumble_aggressive,55.8776683222826,1,1,18.976760708279162,95.21793863099921,15.240030480060959,1,68.0719511878608,99.54475451671335,21.74722553584248,0.9575971364974976,68.0719511878608,10.0,150.0,23.417543543535817,1152.111083984375
call_18.wav,rumble,rumble_aggressive,54.213166578240745,1,1,28.671451682908543,96.06829268292682,28.191072826938132,1,57.48788496734303,99.61521357820516,21.743565924341546,0.8817710876464844,57.48788496734303,10.0,150.0,24.14780261591429,35553.97265625
call_21.wav,rumble,rumble_aggressive,55.85302649391644,1,1,16.64351098015353,96.3089430894309,24.398285525881967,1,70.03766873406248,99.52891588041687,21.722332175103716,0.9344601631164551,70.03766873406248,10.0,150.0,23.269015357354927,10488.6982421875
call_15.wav,rumble,rumble_aggressive,54.336746269656,1,1,25.742772197151798,95.01716350496838,30.04640371229698,1,55.821418778373165,99.61434213575963,21.605986786711533,0.942134439945221,55.821418778373165,10.0,150.0,24.13797808184824,2563928.75
call_161.wav,rumble,rumble_conservative,45.95517657896282,1,1,70.49038955771772,90.70853658536585,70.71498530852105,1,16.219226726403,99.87562636591156,21.153018205739706,0.8502811193466187,16.219226726403,10.0,150.0,29.05271675782778,36967.54296875
call_143.wav,rumble,rumble_aggressive,53.591600896218736,1,1,34.900363668588454,97.39024390243902,28.19107282693814,1,62.54865481695576,99.46000917602306,20.63831594159156,0.9357865452766418,62.54865481695576,10.0,150.0,22.676136200474662,1942159.625
call_124.wav,rumble,rumble_conservative,50.47631301138523,1,1,47.07886520256043,90.7439024390244,30.575035063113603,1,32.91225613697261,99.7136127449827,20.604039674011926,0.920292854309082,32.91225613697261,10.0,150.0,25.430463131756973,1699023.625
